id,sentiment
'R2487ZJ2GCE02N',1
'R33PO0Y4KJSRIB',1
'R32U84HFYW9RAB',0
'R243KI1FG0AU9V',1
'R2WZZTZYTMETND',1
'R3E7YAWJUADFEN',1
'R2DJ78G40RCH9Z',1
'RN8OH8WQQAE3Z',1
'R1J4VBBQ7CY8LY',0
'RRC3S9SHXY1XP',1
'R2S6C5PBXVCHFD',1
'R1RCBMXTERHOHJ',1
'RTRM5DKF96E9D',1
'R32N9OYUHZYHKB',0
'R39MLY03O5BEIB',1
'R24L0SMFBBZ6HY',1
'R30L6DPZXQ6JDR',1
'R3B1AXP92P40OK',1
'R199R4XPI71OP6',1
'R24NEPZ4WFT7C0',1
'R1PIZ8HOJNUTAF',1
'R2B33BCFFCQ4DW',1
'R23V86M1E49J6O',1
'R2E1MRFF2ETWMV',1
'R7AL22LD3THYB',1
'R3RHTF0LIO1OBB',0
'R1AJIP6XR52IJV',1
'R23Q0HY498I6ZP',0
'R2CJ5TXV3GIRDY',1
'R2L4EY0P304JL8',1
'R3MIJAFRTBPML3',1
'R3E421W44VLOGE',0
'R3WP6JWEIUWIA',1
'R2BODWYT9PR3JB',1
'RYOE2GLDD0U0X',1
'R1KHFT5CGKK48W',0
'R2D7WQTXCQ18T6',0
'R2ZYJNJLVR8CP0',1
'R3P9DLH7MBKD1M',1
'RL1QISLPTAI4',1
'R3K2D443JAU9RW',1
'R1BR2L4W12N06P',1
'R3IKOSBYNYQXBP',1
'R3B2XBII0AQEFS',1
'R7GHMJIK7ZYZQ',1
'RL3IWA2QSALS8',1
'R1LD5M4RE6WLCE',1
'R16Q3SEKYGVNE6',1
'R1JYKFIFTON0K9',1
'REKNRPIWYQC90',1
'R2UL1AD92GYETH',1
'R10L8O0TS6FAG4',1
'R1WS8X1AG8C5MN',1
'R2M9JER1R33XNZ',1
'R2NR0KJ8SLR2WL',0
'R9ECQ1ZR56HC2',0
'R3OQ1KN5DVJ89D',1
'RAPJI82JLVHI1',0
'R3TC2LG93ZKSXR',1
'R1ZWVVTCOWDM71',1
'R2WP0WR00QL0V1',1
'R2QH24GL108GJ8',1
'RY4326S1Y1KGT',1
'RQGWL6FSHWCHS',1
'R2YLWV5JRVCK78',1
'R3LWJVDVB6KWCV',1
'R2SB6J0RPRDTLH',1
'R1RZY6WFAX3VL5',1
'R10PK7DWAEONM6',1
'R2OWZI76PO1NG9',1
'R3TDTW18NRVOQR',1
'R3OZD227MDBDHL',1
'R15A4WHTTFWEI8',1
'r22z7cyetrmaug',1
'r2wpamp6c4777b',1
'r2r6avyamexq4s',1
'r14mqylbl4bidb',1
'r35dbgrdt3r8d3',1
'R1QWHQ8TFNMJ40',1
'ROJMMFHOJTELU',1
'R3E0UBBYGRCFRR',1
'R23DF21WLIID6F',1
'R2S14XJ2751E4X',1
'R29P1XS5DMQ7FY',1
'RWI2FSOJQXPTW',1
'R2C1SZLAR10YS3',1
'R1Z5MFDJGISHRU',1
'R22FBTW1LVP90S',1
'R17BI1WY8EQY78',0
'R2C3R2WPMW8XNE',1
'R3070M1GUMFCBN',1
'RSLNVGRUD0SAF',1
'R2YMXF378Y8F4A',1
'REU14VXUS7CGL',1
'RET70WLZ98W1N',0
'RC7Y30OR77HQK',1
'R38UTIHXDTJLZC',1
'RNFBX2GNO7UDW',1
'R3LPHRFYN1YARG',1
'R3L9W316F5XNCK',1
'R2JYDRY6S8XCW9',1
'R1YZHE6E5J8WBB',0
'R15VV70DD5Y32T',0
'R1GUQ9D9ROKIA9',1
'R3NR7YX26QU15N',1
'R163LW970AY27D',0
'R3I90C5MG6JQSH',1
'R2HYWHBN8MWANW',1
'R29YECPAW0J2XW',1
'RC1V9WJOMJ17E',1
'R1KA167MA5TX0B',1
'RIH1YQOP3DBXC',1
'R189SLGHXGGHE0',1
'R1T6P3VLB0KK58',0
'RICLDNUBRB4ZZ',1
'R12TRBRT2TGCTJ',1
'R2X69W4OFW9TF0',1
'RWN0SBTAQZ2EI',1
'RZWZLCI38F3WA',0
'R18RK4AMZPKAT3',1
'R1L8UQWDQ97S4Q',1
'RR94LC4GJ50O1',0
'R1LZARCZY8L7MS',1
'R1H2HJ1HNCK65T',0
'R2XK3M2NFIM2FO',1
'R2X6QIO45VVIJS',1
'R1RWUZNR4OCN0L',1
'R2H26J3O0ED2Y6',1
'R28SDES59I6W9Z',1
'RBBLEFG4QUYJM',1
'RLL0U047K7JS3',1
'R2T2GA18YO2XDA',0
'R272H0JXKQ9X3J',1
'R1TLN21I325FS5',0
'RPOYPOP5E2VQ6',1
'R3VHNN6DJZM9XB',1
'R2ZLYJVWQC7AAO',1
'R22DA3Q27Z30AI',1
'R31XQA3VURA579',1
'R1541OS04QRJ5C',1
'R3NYX8QMSUHDZP',1
'R2570ZHCI4D5R9',1
'R2PATR8EL5FJC7',1
'R1061QYUBNR3EC',0
'R2K57TO4G9FC9C',1
'RY5ROV01NTKD3',1
'R1R0UN7M77DW5A',1
'RNUQ2JDMH8QHV',1
'RK5D50840CCAE',1
'R23HJ4TLYTCUER',0
'R122I01R3SG3YQ',1
'R10J20RIZIRYPC',1
'R20U165C43HAQA',1
'R300ZT6T6O9XBW',1
'R1BC3E2QS68XXX',1
'R3N3RL34MMGNJG',0
'R1QJVNDARZR0P3',1
'R2A0554RLEXC1L',1
'R3O9NNGYOCY2Z4',1
'RWPICUU5Y75N8',1
'R1OBGOWZEHPYK2',1
'R2ZNL13RMQRWH6',1
'R3KXSH8GS72ZHR',1
'R205I5IVIPNKWB',1
'RJGT5P2IVO09N',1
'R109GLOGRQ2E5D',0
'R3O8C1BJYKZ6Z5',1
'R8B773YIDRE9Z',1
'R3FKOBEPUG4D57',1
'RA40MJPJ5L90J',1
'R16LCB3C22CDEE',1
'R1D9P6NZGXRTZH',1
'R29H2P36FDDCQZ',1
'R6K84574GQB7A',1
'RNHJCWGCXCYIE',1
'RCHSF6V062F0K',1
'R3LLUXQC656K33',1
'R3UMLQR0WFBJ11',1
'R2KLJXKH63Q79X',1
'RA7TKH17IQK12',0
'R22JV9UGDBU4T4',1
'RP2MT8N1SZ89T',1
'RGDMD4BTMC6F0',1
'R3QIBYTTC1BM0J',1
'R3KM1U52ML5ABN',1
'R6ITZ4QZ7PPYN',1
'R1TZD1QDCSTKZ5',0
'R53D680LOUMGG',1
'R2BTTPYBP2WRIN',1
'R2WGYPT425ZGI9',1
'R2U5A8P7ZZO75F',1
'R3PO0FS6U9AYH7',1
'R2HS70FXJIHJXV',1
'REKMNME7NFLP7',1
'R3AYE2KD858HU2',1
'RK5MFV1Q3CD08',1
'RYAK6FMQP5OIZ',1
'R37QDZDVNK1DDR',1
'R2DOL1YP03DBIP',1
'R30L5ZFH38L1TP',1
'RY5ICOYO22ZKI',1
'RTWQDLKBEHP2G',1
'R3J1816Y5MLS2I',1
'R1J29IXQRJ03ZV',1
'R1BERN7QTAHPSW',1
'R3PM6B8RRH94P4',1
'RV4OR1L3WDVZ9',1
'R2WU5EROQI8HNF',1
'R24KITNGJ7X38R',1
'R353RGEUI9DIJ2',1
'RHXIQ5HR7R8D7',1
'R3SY8YT8TX0HD4',1
'R13TGI03PCF3W6',1
'R22IK2YT8XQ2JK',1
'R3C8ESDX6W9W3Y',0
'RV9OLDPTXJN14',1
'R2L1B4BKDA89EA',0
'R20BVQVU5U21I8',1
'R1EZTMPMRTJUO2',0
'RKIU8M23KE4O3',0
'R1NRJ47IB2OOB5',1
'R9BQALBELRTWH',0
'RXJOERQY6NIH5',1
'R1ZO5T5N9H5ROB',1
'R3F8SDZZ42Q34W',1
'R3UYZQN5HCQV71',1
'RV0ZPTTHTD0O1',1
'R21R3WW9OCDVYE',1
'R226MHGWFL43AZ',0
'R2V28UNWER4583',1
'R6FD8HQTSD88O',1
'R14FW5HILO46S0',0
'R1RRNK68CSBBOE',1
'R12T6MQ6SMHAPK',0
'RZKJ9B5Q749WA',1
'R3PXXLXNMOEUMF',1
'R2IY4CE8VLPTJJ',1
'R30S8EQAXDPE0T',1
'R2PXZLI7HVC2KJ',1
'R28A4J68L184B3',1
'R2OTFWUC33J2RK',1
'R2LHZYSUVJ0DIY',1
'R1Q1DMVAKV0PA3',1
'R3IO29LYC3C64A',1
'R2IC3QN4JJ67P5',1
'RERRISE94H2O6',1
'R3VOJK777371YN',0
'R1EQR7AC65MJ57',1
'R15DW8TP6PYKXQ',1
'R314F1DVRDWTTF',1
'RL8B72WJEZKUO',1
'R1DW6NVZ10VBWE',1
'R24X384TUWR84J',1
'R18UEDTIGLZFTD',1
'R2LXISLVU03D1O',1
'R1DBTNDRNHJEU8',1
'R28ZKVUHCXI34I',1
'RBIGJW4HRXE4V',1
'R24043XL4797KY',1
'R1I5I2318M3B9R',1
'R24810Q3ZRRTLZ',0
'R1M4PNCKMW31FE',1
'R3F2LCNNLVDE71',1
'R2OQYLSLE5QE9P',1
'R30DTC8PFT3O6M',1
'R2XX5W3PADIA88',1
'R275TOKV40U353',1
'R1LAM8T6FGKZF1',1
'R3KY22KCH3IL7K',0
'RTN1JHWIWIGYK',0
'R2GXN7E5UV5Y4F',1
'RJWLU4GT90TD6',1
'R2ES60TLKTNJLK',1
'R2TP91G18Q7WQV',1
'R3P25JARZNPUV3',1
'RVDX6AYTINO2K',1
'R3BAG7DY4PV1OW',1
'R3O16Q0LZ2T497',1
'R32RZI4INALUXU',1
'R7WJTGGIOFYCJ',0
'R3UOMD87R27SOU',1
'R1IIRAVJ75JJHT',1
'R3GBJN6A9T1M1A',1
'R2HX4VASQC4S8Q',1
'RYFTIY71ZLBU3',1
'RAXLUANX890H',0
'R3US9T9SV5XVJV',1
'R3NEWCLWGNYI74',1
'R3A00CVAVX2OOA',1
'R2SUCD2ILVP5XE',1
'R36SQGV2X26IVN',1
'R1Y4EFPGX0HDWH',1
'R5DUDM9BGDJTZ',1
'R1F5WMR0SIGLRE',1
'RSTNC7KGUHSJ',1
'R2R92PF3UWNWKO',1
'R3831T9HRDIFE4',1
'R1LUIK319MP35A',1
'R33R55NIDLQZMQ',1
'R4AAJRGYV3OKA',1
'R17TH7PVR4TM4P',1
'R1HJP9RNAZ688V',1
'R2T0XBD4RSMGZT',1
'R3K5BMVISB99X6',1
'R4T5EHI54EVPJ',0
'R18AHFHNVF3BKI',1
'R10KDGG28D2M5I',0
'R34O5JIO61UOG5',1
'R3L148PUUTGR8N',1
'R14MDQZZSTRM97',1
'R1TWPAWD4N2I1D',1
'R1UDVY5L6LM51D',0
'R1GPOMHSJDCT2G',1
'R3205ZN0LI4C59',1
'R15H4EC365J21',1
'R2LOFMHIL5B0C4',1
'R20MF1IPAUS10G',1
'RKSM59RISDFMQ',1
'R1FGHIJOETM4QM',1
'RXK69A0SHFYMY',1
'R4VOAPDEDOYLA',1
'R3W50NWLVM311T',0
'R2F8SGDLEZCVNU',1
'RRN1O6G95PH9J',1
'R2D8LGAK7LW3Y8',1
'R1IE03WRE7N20L',0
'R2KF3RP4ILCMXW',1
'R2QSK9S8OO2COA',1
'R3OYCHU8AITB8Q',1
'RKVTRTJME5GSH',1
'R1FX9FJTL3SKKU',1
'RQ4BWGM9C7S4X',1
'R2CS1DK8SHU7IK',1
'RUX3YUVHRY7ID',1
'R2WOAM132QSGAG',1
'R3SWCZU6HPQ4MA',1
'R3UMRU0YZF8TNP',0
'R19KUMCS9B61IS',1
'RGVWLBLQ9CARR',0
'R36RH0803WBM0D',1
'R2JFLO1ADSRKI8',1
'R2MM2GASVMU6DN',1
'R2KYRF005TAK5K',1
'R1DA0X9P660JV0',1
'R7CSFIE5ME0NX',1
'RW3IPSERDKH3S',1
'RMQ7JE4HHFXRP',1
'R28MUTG29WSVU6',1
'R1QCGKU2JCNXXH',1
'R3Q0YJO5WH53HW',1
'R2TJ8SPN7GVVLI',1
'RMQ6JLV9TH3LU',1
'R30KC5ZEJG9TRT',1
'R3EZENT0N48ROI',1
'R3V6OMOV1YJYWM',1
'RODRVH0D5O4Y1',1
'RW0BV0NWX3BI0',1
'R24CBO6JXTGW8F',1
'R6IOL603H6OWL',1
'RR0FSKCEDU1ZL',0
'R1X32OW8XWCN3I',1
'R1CCDUX6ESZE3W',1
'R1JY0FULUX4717',1
'RA7XJFBG15XEM',1
'RLD3MDTUH5POL',1
'R2Y3RT6FZ372JY',1
'R3JMFOQAZNAQMK',1
'RDSIVGBD06FP3',1
'R20WTWZIDBWTNC',1
'R2Y9U3WYUSH1FU',1
'R2VUWXZU6PFI61',1
'R2EFYS7OEWYMLA',0
'R3CE7QSSDHWU4F',1
'R1OPXB0I06ZM2H',1
'RERJ8U7YRMV38',1
'R3BGW6DVK6DVJQ',1
'RU4ILCDH2GN77',1
'R1HDJDZIOFW0E2',1
'R2QF8YVM9PILYM',1
'R37CV45NTNGNPS',1
'R3HR8C94LXR54U',1
'R1Q8QHHF6K0MUR',1
'RQR7VNBB9TCSW',0
'R17VC20TMVUV1C',1
'R12XAO2OSWL4T',1
'R8XORMUCAJA7A',1
'R1ICCARX4FQ073',1
'R3LTWVFTLXF642',1
'R1ZMT1T66CYAJ',0
'R2G01Q2XFEUQXG',1
'R34JAM3HNTPDP7',1
'R1I5NTQEECERUX',1
'R1C85SVG0UVEZD',0
'R251LAVFUFQUOL',1
'R22H2UYZ2P039T',1
'RI5T2SKQXJZO9',0
'RXY3GG65JPRVR',1
'R3AZICL3DCNMDJ',1
'R3K7SS177DHQ3V',1
'R1P0RUB8X7EAP9',0
'R3QEJQD1OLMBIA',1
'R212TLAXUN30WQ',1
'R2DTIT2XOPU48M',1
'RVLICW4HJN2QX',1
'R2YB7J4QPP4Q3P',1
'R3J01KRMP5Q95N',1
'R3U160NGKTVW49',1
'R1X5MS0IJF1QUJ',0
'RFVE5U32PUANZ',1
'R9A89T35VZSVW',1
'RD7MWCARZKA5Z',1
'RWEYS327JRKC8',1
'R3OMSM9XB7X14U',1
'R8Z5VK8T7746S',1
'R1T7C1C9QJ1UJK',1
'R220VI34BLHQZN',1
'R1C5GDOVP36K2Q',1
'R3QVPNZ7G9X744',1
'R176MFKCDBGMV2',1
'R25NSG24NM4TLD',1
'RBHH2L95OZW8P',1
'RIQVMACBRZG8Z',1
'R3OXRQSF8KA6V2',1
'ROJDDMYINXIK2',1
'R36921V3SM3QEV',0
'R2V1NZ9K72YZTY',1
'R15DFE5IXAS0A7',1
'R32Q4TIVG1CAE',1
'R7T8RO1XTKJMB',0
'R1Y0PL5JSMUXUW',1
'R2RGPYLCO7C29',1
'RZ6K9WIAUBKTM',1
'R3J420DNBE2OU',1
'R18JWT6OR8S86M',0
'R5G7G1CFWENZ8',1
'R23QPTW19NI4ZL',1
'R26567ZHWEL86T',0
'RKAYI062NRTTI',0
'R1CPFAMGZIXW7Z',1
'R2CL5BMJ3G940Y',1
'R1PG1C43UYBR77',1
'R30K0MQUHTA0VN',0
'R2BVMM786J3OCI',0
'R37P5VXL1IEU13',1
'R3NJ2HXZL08I7F',1
'RX1ZUVGBH3HKC',1
'R30HHT87LEQ58T',1
'R3ROW1FM562STG',1
'RG0QA5RXVTVO8',1
'R201TOS3D2FR4',1
'R3L2W1D54JWICW',1
'RQH0B0GRUXI9N',0
'R3NYXFU74T63Y5',1
'R5YFC5G8V2B3I',1
'RQBGUU0C58CV2',1
'R37VH3ZT32NP6S',0
'RZBF1BFVYHT6L',1
'R1KO8SKTLRRMJF',1
'R1EZV3UO6LP33L',0
'RB49Q8LQ3H1BQ',1
'R3HIDNGO09OAVC',1
'RVINJTQFRD1JQ',0
'RTYMVDZN8JSVL',1
'RGI0QIDX71RDM',0
'RKXNZX22HQZEE',0
'R2B2ASOMKPG2Y1',1
'RPNCLJWGOLNS2',0
'R2PYJM9JEO9E8X',1
'R16TWDB4H6WQZK',1
'R11ZEQ1YNUORO8',1
'RNU6IDOP7BV0Y',1
'R2T6PILHX8VPIR',0
'R261M5U6WLRFLF',1
'R1CNON69VWOU0',1
'R5THFZT2H51RX',1
'R32PTFHFWY9S1L',1
'R2A8RKJ6X71CKT',1
'RTSIB49LN0D2L',1
'R2PFXY2EIZMD3K',1
'RCM91KQW0NCCG',1
'R25XMDAE573J22',1
'R2K45IY0NO70ZI',1
'RVRMVCPZKM9PT',1
'R3UH2U55T1ZSA4',1
'RK8P69Y6XOLSZ',1
'RSWCOK46I1UAU',1
'RIVCWT3LM0G2E',1
'R3IK8LUYPWCU9H',1
'R32OZOWQJ0FHI1',0
'R1YCDNKNNDS7W',1
'R3REJQGN2U5WOQ',0
'R37RXWJQ6Q4EAL',1
'R14DIBP09XNI5U',1
'R2VLGWA3RDFYJZ',1
'R320MQHTFW6U61',0
'R2NOED2XUPTMI7',1
'R23S0G0SVPC0I8',1
'R9MZ0TK5X4RG8',1
'R1V8PH2CAJPJYC',1
'RC14CXC3Q9WKX',0
'R22040I6BN2SC',0
'R2J4VTUI1XQN0U',1
'R2OLO7UMMUEW0K',1
'R2QUV0KLG38Y7U',0
'RJNTR3P11PET9',1
'RA7T9DL1KN5HL',1
'R3D38NWGN3FIJ0',1
'R1AFAY6B0JXKY7',0
'R1GEZTNGMZPBDV',1
'R2B8PKDAHON0Z',1
'R36THGSJQMXR8N',1
'RPINQU6EY687P',1
'R36YDBEXGFB8T8',1
'RJD8L4SVUCRIH',1
'R30CS2D74HKDNN',1
'R3STZQPYKZJZX5',1
'R3502XBDHL0EOI',1
'R2T9I2WBUVXEPY',1
'R2A1RHIYH9SQUU',1
'R3DWYZQFJ8GCID',0
'RR92UT5QXQR96',1
'R1RP5STHB2OSLK',1
'R24IUFY6ZMRKO4',1
'R1E7LAIG3WUF9U',1
'R14MS5UL9B09MX',1
'RSR73GAU4K6VY',0
'R16ASFCV1UG3HO',1
'R34PFW1NK782KD',1
'RPRAMCCSPBW7X',1
'R2IQMB4IO2ZIL6',1
'R1ES7WGUKUODS8',1
'R1IUX33P1ZXF78',0
'R2RVO54YYW9VOJ',0
'R1NJ9ZP8WVOQH4',1
'R2SEYAMD3EGFUL',1
'R2MRNNN4E3C2P7',1
'R39NVX27IOXXJT',1
'RMG9EMNMRHPOR',1
'R1MRDVL0P65HFI',1
'R1MWAAB5QG3YRP',1
'RKG895EF1NXPE',1
'R2UY73I3Y296QJ',0
'R35BI4RK0JRYHR',1
'R31824NSOE06LB',1
'RTJBKRG86OEOQ',1
'R26GRUQ3SQJZJI',1
'R1A7M9YQAGFXC0',1
'R2715IV60MQSPD',1
'R2O76VGL26BG8L',1
'R3RM4W5PQ61FWQ',1
'RLFHMXRCG4MAL',1
'R191UTQHZRDB7U',1
'RVIN3PS40RVAE',1
'R1JK44UXHWOB3S',1
'R23YM24GPNN5V3',1
'R5AX9X99RCCSC',1
'RZ1H6HCKTGNR',1
'R3H4LYDEUDKU4J',0
'R3GRZUH0EEFPNU',1
'R3W41W58K5BISA',1
'R1SAT8I3TVVXX6',1
'R2XOVDFSKFIZYJ',1
'R7FA2S2WZXHJZ',1
'R3MS6XCTDQ7TK6',1
'R25AEIQOP6BB7P',1
'R2SV80B0KFDOOL',1
'RNQKFQI93K3T5',1
'RKFGPOTYPMMAY',1
'R1KXMZ0AOEDSQ1',1
'R31UVBFDFJUPVM',0
'R1HUHZ4LPUFCKB',1
'R27H2VVVQ05RA3',1
'R3KWKUM95ZIOCH',1
'R28JH775JUNIN0',1
'R1H0L2K5JDURIT',1
'R17J83RPXLM5QX',1
'R2GRF9L739XZSA',1
'R2JZ3WH814K1X1',1
'R1RE14X0O17W03',1
'R2EBG8Z8BIG2S8',0
'R1O9JZT0SCK2RM',1
'R25TN3V6W276K4',1
'R112TXSCHBN0UK',0
'RO50NAC801KAD',1
'R2BX2P6PYNCOAG',1
'R25GYNC1L2253K',0
'R3IG46NK1UEBHP',0
'R1PTRB1IQMCT5W',0
'RN98UQYU1W6VG',1
'R14KFYLTL09W8D',1
'R1P9J9HYTBXW8H',1
'R3QHDRF7901LVO',1
'R15YJ9F8ASYTDQ',1
'R1L55OY9R091PE',1
'R1HTYPGHGST6EA',0
'R1NHNP6F6NPM9A',1
'R3Q3TZ4X7UY8YV',1
'RVH3DC3GNUPDU',1
'R1JAPPW9QOF6QK',1
'r2blimsd1vkypv',1
'r3f3mpl1hcrs50',1
'R26PPNZ104482',0
'R3K22J6XS6HTEM',0
'R3C3R8VNFE2IO5',1
'R2OGIZUC2S11JR',1
'R3HZ7FZEG8CUU6',1
'REL5O8MTRBJF7',1
'R3CQ8XG5E0ZGTX',1
'R2U1JLZVQ9LLV7',1
'R1QYKMRAETXE1K',1
'R3V2AG6LMV2T3E',1
'ROMVEKIPI4VL3',1
'R2S0VDK666BMFX',1
'RVUBAGLBR2LE0',1
'R2VQZMF96BI5KB',1
'RBJG8F91FZ9CO',1
'R13UQIRMF4A3HY',1
'RNU4F673NZGNI',0
'R32SYN8FBR7AS1',0
'R3ELIJQNB089K7',1
'R8PLGHH8KPBS9',0
'R2I6UFYNI14HCE',1
'RFQWR7AVWLPXM',1
'R3I06BAH42IPBJ',1
'R13CFSYILSJG0N',1
'R2PY5DX7X2ZCHW',0
'R2VS5U36BIZB18',0
'R23036MN9KAAPS',1
'R2DSVF1S5LKKKI',1
'R2MPNF13C4S6Q9',1
'R1338K8UYV8HZ1',1
'R670U3MGCVROB',0
'R2HF3YU3JDHWO8',0
'RRI3SDWMUUX2B',1
'R1MT9C1H122ANO',1
'R3DM0ZTAKBIB63',1
'R3SBO9S7I5CVX2',1
'R195BT6M1SP8KJ',1
'RPUGWP0LCC28K',1
'R2KFL3P1EFTHTJ',1
'R2D3DACG6K35HD',1
'R2M244T74CS5RU',1
'RSCQIQA1FUSCC',1
'R1JWFHW000EXOJ',1
'R32U1NQBYQZ25L',0
'R21ZHN7HZQ4DT0',0
'R125HPYFQA8JKV',0
'R29V2MIP5U8S8Z',1
'R16V54BMMQVX29',1
'RYDRY2GX0USZV',1
'R1XAAPLLT9FSEQ',0
'R1RGAFRSVLSSSX',1
'R3NFW4UN13B7D8',1
'R3QZ6PGTONL75S',1
'R1SW10SZ8UM5MG',0
'R1YD12YIL2K78U',0
'R2EAH2FUVZ71JB',0
'R3DMMPG214UA6P',1
'RZKM3551JXN69',1
'R3QAG768FAJG62',1
'R2R34MPQP9G5MD',1
'R1WR75PSD62OOR',1
'R2N85EZCY74DGM',1
'R1SK73HDWIV2ZJ',0
'R2UTDN8Q1ABCRJ',1
'R19CK8VFWCUZG',1
'RS2FTER0J3IF4',0
'R1AAPM6CPT575Q',1
'R1ZW5IK60I5UKH',1
'R24WXOHCH3DPTT',1
'R14KLU6IY5CNTL',0
'R1V2KT1FCF466O',1
'R10L5LKFPRBOV7',1
'RVEIBNEAH17P4',1
'R3NO3289DOBJQJ',0
'R3CU5RD6Q0ML5T',1
'R3QCD7ER70ESKO',1
'R2IXO20AEH99OC',1
'RBD01D4YPZVWX',1
'R1SY2M4YIBIK2R',1
'R30DKM7GZ7L0L5',1
'RJ9P1K599OVVI',1
'R2VP9M9V6F1WH2',1
'RNLNH2HXF98MS',0
'R1Z9JF4GYQ50MS',1
'R341NXZYCNZASE',1
'RUTBADGS029BA',0
'R1IG56BHB5SCYV',0
'R2Y6ZSUO4GOE1O',1
'R10MD4PFSKVX1T',1
'RB8T19OI7RZK1',1
'R2R9J1VAZC0DIV',1
'R1C0VG5UIYP8UX',0
'R3VIK1V0N1LACW',1
'RZKGNEMPUEKMJ',1
'R2X4JV0NEOELJW',1
'R2AKNCV4GRO3HY',1
'RLBFS6RM93UUX',1
'R3OVEUJ55AKNG2',1
'R1ZRMHQTMEVEY7',1
'R2YXQUCXH8M3NC',0
'R1TS0D24NLO0SL',1
'RPDIG53UR875Y',1
'REX0XLZC35OKC',0
'R1M8HRW94JOBB1',1
'R125EO1WML3JBB',1
'R2EKW6LGZYRL15',0
'RXAFCQWGVF27A',1
'R1C8OJRIQF4KDA',1
'R2FM5MI8H9AFFL',1
'R87XGU53ENGPW',1
'R3GKYXOQ3IS5CY',1
'R20P9L37S796TG',0
'R3PFQV0ZVPLIQ7',0
'R23DGA5HMNMCGQ',1
'R172GJB6UWYKD1',1
'RLC4M1VKMJSNB',0
'R16S8QG8W87YT9',1
'R3LKXXAXVAHXXZ',1
'R30Q0MGNLN8GBJ',1
'R5LPOEAPJSGJ5',1
'R3J433F01Z7LY1',1
'R1LDDIRM4VDPYI',1
'R1BNDVB6UBB8MR',1
'R2FXF4JSMMEPY8',0
'R2HOXHYCN5R6F7',1
'R29JKYSXTH4JNW',1
'R21EXUDSDGHA7',1
'R3HSOTM59MM0MW',0
'R12A4KLY6CDPA7',1
'R1DCPHU8TZLMJ0',1
'RGT7RTQ9BY8O4',0
'R3LFQF7CCRYE81',1
'R3CK4WCJW9G7NS',1
'R3LXY0P3K4YSME',1
'R13A2T7MHMCVBV',1
'R1CBPEKYJ8YQPP',1
'R1SUYQBE48R0R1',1
'R2ZID0KPYT8NHV',1
'R2J9FNO7ZSV51R',1
'R39SV83ZZX24XQ',1
'R1UTWP9PU37A1F',0
'R2H9R03NH66PWI',0
'R16NKY9THARB9J',1
'R15L1BJWZE6NTU',1
'R22HLWEC0B8MOD',1
'R216OIG9RINLKW',1
'RDE458XLZBFN3',1
'R1LE2V8ZGC3JT7',1
'RWL0C2S2APZ0N',1
'R2CCQL8HEC4KGX',1
'R1Y8UV8AFJLV2S',0
'R1S7IYPO3CZQDV',1
'RA0MW5WRB3R2A',1
'RNVY5R2BNW5O',1
'R35FNU4OLOJDDC',1
'R344SJ8QI9XE4K',1
'R3QDY2Y0WMA80X',1
'ROKFZ3TGQAGPS',0
'R2J74BFOF8DPY8',1
'R3BFAGWWN9HZLQ',1
